type,person,score
Pres,1_2,39.13850403
Pres,2_3,20.16934204
Pres,3_4,17.07935333
Pres,4_5,6.654388428
Pres,5_6,0
Pres,6_7,4.895275116
Pres,7_8,0
Pres,8_9,0
Pres,9_10,16.50938034
Pres,10_11,27.68098068
Pres,11_12,20.83826447
Pres,12_13,26.00750732
Pres,13_14,28.98968315
Pres,14_15,19.66426849
Pres,15_16,0
Pres,16_17,14.22280502
Pres,17_18,35.11130142
Pres,18_19,29.45453262
Pres,19_20,32.22225571
Pres,20_21,13.05418396
Pres,21_22,0
Pres,22_23,37.36351013
Pres,23_24,16.82076645
Pres,24_25,9.49887085
Pres,25_26,19.85055161
Pres,26_27,10.72041321
Pres,27_28,0
Pres,28_29,0.1390151978
Pres,29_30,0
Pres,30_31,47.08343124
Pres,31_32,18.13897324
Pres,32_33,2.274620056
Pres,33_34,52.16169357
Pres,34_35,38.68898773
Pres,35_36,6.707298279
Pres,36_37,20.91869736
Pres,37_38,5.77658844
Pres,38_39,19.92643738
Pres,39_40,10.41798782
Pres,40_41,29.97364998
Pres,41_42,20.67205811
Pres,42_43,21.68409729
Pres,43_44,14.52947235
Pres,44_45,0
Pres,45_46,24.14390945
Pres,46_47,0
Pres,47_48,30.94269753
Pres,48_49,0
Pres,49_50,37.79111481
Pres,50_1,0
Star,1_2,54.17103577
Star,2_3,33.43246841
Star,3_4,43.55974197
Star,4_5,71.348526
Star,5_6,45.46198273
Star,6_7,54.95824432
Star,7_8,59.45726395
Star,8_9,71.69978333
Star,9_10,58.10257339
Star,10_11,57.77393341
Star,11_12,44.6051178
Star,12_13,54.07549286
Star,13_14,59.45870972
Star,14_15,72.57972717
Star,15_16,76.68539429
Star,16_17,71.65750122
Star,17_18,59.45421982
Star,18_19,54.69229889
Star,19_20,72.37884521
Star,20_21,76.24604797
Star,21_22,76.92640686
Star,22_23,41.88283539
Star,23_24,37.09007263
Star,24_25,76.08035278
Star,25_26,61.23942566
Star,26_27,64.2985611
Star,27_28,63.77690887
Star,28_29,48.06652832
Star,29_30,59.71542358
Star,30_31,78.11290741
Star,31_32,65.97337341
Star,32_33,56.36933517
Star,33_34,78.04129791
Star,34_35,77.66669464
Star,35_36,52.28513336
Star,36_37,29.25893211
Star,37_38,13.51119995
Star,38_39,10.31274033
Star,39_40,27.68606186
Star,40_41,64.23390961
Star,41_42,38.82685471
Star,42_43,13.8507309
Star,43_44,40.54747772
Star,44_45,32.66908264
Star,45_46,36.71844482
Star,46_47,50.73400497
Star,47_48,34.44304657
Star,48_49,48.74568176
Star,49_50,79.91538239
Star,50_1,70.71420288